Entity,Code,Year,Incidents
Bulgaria,BGR,1975,0
Bulgaria,BGR,1976,0
Bulgaria,BGR,1977,0
Bulgaria,BGR,1978,0
Bulgaria,BGR,1979,0
Bulgaria,BGR,1980,0
Bulgaria,BGR,1981,0
Bulgaria,BGR,1982,2
Bulgaria,BGR,1983,0
Bulgaria,BGR,1984,1
Bulgaria,BGR,1985,0
Bulgaria,BGR,1986,0
Bulgaria,BGR,1987,0
Bulgaria,BGR,1988,0
Bulgaria,BGR,1989,0
Bulgaria,BGR,1990,5
Bulgaria,BGR,1991,3
Bulgaria,BGR,1992,2
Bulgaria,BGR,1993,2
Bulgaria,BGR,1994,2
Bulgaria,BGR,1995,2
Bulgaria,BGR,1996,12
Bulgaria,BGR,1997,3
Bulgaria,BGR,1998,2
Bulgaria,BGR,1999,1
Bulgaria,BGR,2000,2
Bulgaria,BGR,2001,1
Bulgaria,BGR,2002,1
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0
Bulgaria,BGR,2008,2
Bulgaria,BGR,2009,0
Bulgaria,BGR,2010,0
Bulgaria,BGR,2011,2
Bulgaria,BGR,2012,2
Bulgaria,BGR,2013,3
Bulgaria,BGR,2014,1
Bulgaria,BGR,2015,2
Bulgaria,BGR,2016,1
Croatia,HRV,1970,0
Croatia,HRV,1971,0
Croatia,HRV,1972,0
Croatia,HRV,1973,0
Croatia,HRV,1974,0
Croatia,HRV,1975,0
Croatia,HRV,1976,0
Croatia,HRV,1977,0
Croatia,HRV,1978,0
Croatia,HRV,1979,0
Croatia,HRV,1980,0
Croatia,HRV,1981,0
Croatia,HRV,1982,0
Croatia,HRV,1983,0
Croatia,HRV,1984,0
Croatia,HRV,1985,0
Croatia,HRV,1986,0
Croatia,HRV,1987,0
Croatia,HRV,1988,0
Croatia,HRV,1989,0
Croatia,HRV,1990,0
Croatia,HRV,1991,26
Croatia,HRV,1992,4
Croatia,HRV,1993,4
Croatia,HRV,1994,4
Croatia,HRV,1995,1
Croatia,HRV,1996,3
Croatia,HRV,1997,8
Croatia,HRV,1998,0
Croatia,HRV,1999,0
Croatia,HRV,2000,2
Croatia,HRV,2001,3
Croatia,HRV,2002,0
Croatia,HRV,2003,0
Croatia,HRV,2004,0
Croatia,HRV,2005,1
Croatia,HRV,2006,0
Croatia,HRV,2007,0
Croatia,HRV,2008,2
Croatia,HRV,2009,1
Croatia,HRV,2010,0
Croatia,HRV,2011,0
Croatia,HRV,2012,0
Croatia,HRV,2013,2
Croatia,HRV,2014,0
Croatia,HRV,2015,0
Croatia,HRV,2016,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,3
Cyprus,CYP,1974,0
Cyprus,CYP,1975,2
Cyprus,CYP,1976,0
Cyprus,CYP,1977,1
Cyprus,CYP,1978,2
Cyprus,CYP,1979,5
Cyprus,CYP,1980,1
Cyprus,CYP,1981,3
Cyprus,CYP,1982,1
Cyprus,CYP,1983,2
Cyprus,CYP,1984,7
Cyprus,CYP,1985,7
Cyprus,CYP,1986,3
Cyprus,CYP,1987,10
Cyprus,CYP,1988,5
Cyprus,CYP,1989,6
Cyprus,CYP,1990,11
Cyprus,CYP,1991,11
Cyprus,CYP,1992,6
Cyprus,CYP,1993,6
Cyprus,CYP,1994,6
Cyprus,CYP,1995,3
Cyprus,CYP,1996,10
Cyprus,CYP,1997,0
Cyprus,CYP,1998,1
Cyprus,CYP,1999,1
Cyprus,CYP,2000,2
Cyprus,CYP,2001,1
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,1
Cyprus,CYP,2005,0
Cyprus,CYP,2006,0
Cyprus,CYP,2007,1
Cyprus,CYP,2008,0
Cyprus,CYP,2009,0
Cyprus,CYP,2010,0
Cyprus,CYP,2011,0
Cyprus,CYP,2012,1
Cyprus,CYP,2013,9
Cyprus,CYP,2014,5
Cyprus,CYP,2015,3
Cyprus,CYP,2016,2
Czech Republic,CZE,1970,0
Czech Republic,CZE,1971,0
Czech Republic,CZE,1972,0
Czech Republic,CZE,1973,0
Czech Republic,CZE,1974,0
Czech Republic,CZE,1975,0
Czech Republic,CZE,1976,0
Czech Republic,CZE,1977,0
Czech Republic,CZE,1978,0
Czech Republic,CZE,1979,0
Czech Republic,CZE,1980,0
Czech Republic,CZE,1981,0
Czech Republic,CZE,1982,0
Czech Republic,CZE,1983,0
Czech Republic,CZE,1984,0
Czech Republic,CZE,1985,0
Czech Republic,CZE,1986,0
Czech Republic,CZE,1987,0
Czech Republic,CZE,1988,0
Czech Republic,CZE,1989,0
Czech Republic,CZE,1990,0
Czech Republic,CZE,1991,0
Czech Republic,CZE,1992,0
Czech Republic,CZE,1993,0
Czech Republic,CZE,1994,1
Czech Republic,CZE,1995,3
Czech Republic,CZE,1996,3
Czech Republic,CZE,1997,4
Czech Republic,CZE,1998,0
Czech Republic,CZE,1999,0
Czech Republic,CZE,2000,0
Czech Republic,CZE,2001,1
Czech Republic,CZE,2002,0
Czech Republic,CZE,2003,1
Czech Republic,CZE,2004,0
Czech Republic,CZE,2005,0
Czech Republic,CZE,2006,0
Czech Republic,CZE,2007,0
Czech Republic,CZE,2008,2
Czech Republic,CZE,2009,1
Czech Republic,CZE,2010,0
Czech Republic,CZE,2011,1
Czech Republic,CZE,2012,0
Czech Republic,CZE,2013,1
Czech Republic,CZE,2014,5
Czech Republic,CZE,2015,4
Czech Republic,CZE,2016,2
Denmark,DNK,1970,0
Denmark,DNK,1971,0
Denmark,DNK,1972,0
Denmark,DNK,1973,0
Denmark,DNK,1974,0
Denmark,DNK,1975,0
Denmark,DNK,1976,0
Denmark,DNK,1977,0
Denmark,DNK,1978,1
Denmark,DNK,1979,3
Denmark,DNK,1980,1
Denmark,DNK,1981,6
Denmark,DNK,1982,0
Denmark,DNK,1983,0
Denmark,DNK,1984,0
Denmark,DNK,1985,4
Denmark,DNK,1986,2
Denmark,DNK,1987,2
Denmark,DNK,1988,1
Denmark,DNK,1989,1
Denmark,DNK,1990,0
Denmark,DNK,1991,1
Denmark,DNK,1992,4
Denmark,DNK,1993,2
Denmark,DNK,1994,0
Denmark,DNK,1995,6
Denmark,DNK,1996,0
Denmark,DNK,1997,0
Denmark,DNK,1998,0
Denmark,DNK,1999,1
Denmark,DNK,2000,0
Denmark,DNK,2001,0
Denmark,DNK,2002,0
Denmark,DNK,2003,0
Denmark,DNK,2004,0
Denmark,DNK,2005,0
Denmark,DNK,2006,0
Denmark,DNK,2007,0
Denmark,DNK,2008,1
Denmark,DNK,2009,0
Denmark,DNK,2010,1
Denmark,DNK,2011,0
Denmark,DNK,2012,0
Denmark,DNK,2013,1
Denmark,DNK,2014,0
Denmark,DNK,2015,4
Denmark,DNK,2016,1
Estonia,EST,1970,0
Estonia,EST,1971,0
Estonia,EST,1972,0
Estonia,EST,1973,0
Estonia,EST,1974,0
Estonia,EST,1975,0
Estonia,EST,1976,0
Estonia,EST,1977,0
Estonia,EST,1978,0
Estonia,EST,1979,0
Estonia,EST,1980,0
Estonia,EST,1981,0
Estonia,EST,1982,0
Estonia,EST,1983,0
Estonia,EST,1984,0
Estonia,EST,1985,0
Estonia,EST,1986,0
Estonia,EST,1987,0
Estonia,EST,1988,0
Estonia,EST,1989,0
Estonia,EST,1990,0
Estonia,EST,1991,0
Estonia,EST,1992,2
Estonia,EST,1993,4
Estonia,EST,1994,6
Estonia,EST,1995,2
Estonia,EST,1996,1
Estonia,EST,1997,0
Estonia,EST,1998,0
Estonia,EST,1999,1
Estonia,EST,2000,0
Estonia,EST,2001,1
Estonia,EST,2002,0
Estonia,EST,2003,0
Estonia,EST,2004,0
Estonia,EST,2005,0
Estonia,EST,2006,0
Estonia,EST,2007,0
Estonia,EST,2008,0
Estonia,EST,2009,0
Estonia,EST,2010,0
Estonia,EST,2011,1
Estonia,EST,2012,0
Estonia,EST,2013,0
Estonia,EST,2014,0
Estonia,EST,2015,2
Estonia,EST,2016,0
European Union,EUR,1970,0.89
European Union,EUR,1971,3.96
European Union,EUR,1972,11.8
European Union,EUR,1973,9.32
European Union,EUR,1974,10.14
European Union,EUR,1975,14.28
European Union,EUR,1976,18.75
European Union,EUR,1977,25.96
European Union,EUR,1978,25.25
European Union,EUR,1979,35.57
European Union,EUR,1980,20.28
European Union,EUR,1981,15.67
European Union,EUR,1982,13.17
European Union,EUR,1983,16.64
European Union,EUR,1984,18.60
European Union,EUR,1985,14.53
European Union,EUR,1986,14.57
European Union,EUR,1987,14.10
European Union,EUR,1988,16.82
European Union,EUR,1989,15.14
European Union,EUR,1990,14
European Union,EUR,1991,25.92
European Union,EUR,1992,27.82
European Union,EUR,1993,24.14
European Union,EUR,1994,21.60
European Union,EUR,1995,12.53
European Union,EUR,1996,18.57
European Union,EUR,1997,13.96
European Union,EUR,1998,5.42
European Union,EUR,1999,8.5
European Union,EUR,2000,9.21
European Union,EUR,2001,8.53
European Union,EUR,2002,4.32
European Union,EUR,2003,4.28
European Union,EUR,2004,2.10
European Union,EUR,2005,3.60
European Union,EUR,2006,3.46
European Union,EUR,2007,2.53
European Union,EUR,2008,6.14
European Union,EUR,2009,6.57
European Union,EUR,2010,4.71
European Union,EUR,2011,3.25
European Union,EUR,2012,6.82
European Union,EUR,2013,9.21
European Union,EUR,2014,7.89
European Union,EUR,2015,12.28
European Union,EUR,2016,9.82
Finland,FIN,1970,0
Finland,FIN,1971,0
Finland,FIN,1972,0
Finland,FIN,1973,0
Finland,FIN,1974,0
Finland,FIN,1975,0
Finland,FIN,1976,0
Finland,FIN,1977,0
Finland,FIN,1978,0
Finland,FIN,1979,0
Finland,FIN,1980,0
Finland,FIN,1981,0
Finland,FIN,1982,0
Finland,FIN,1983,0
Finland,FIN,1984,0
Finland,FIN,1985,0
Finland,FIN,1986,1
Finland,FIN,1987,0
Finland,FIN,1988,0
Finland,FIN,1989,0
Finland,FIN,1990,0
Finland,FIN,1991,0
Finland,FIN,1992,1
Finland,FIN,1993,1
Finland,FIN,1994,1
Finland,FIN,1995,1
Finland,FIN,1996,0
Finland,FIN,1997,0
Finland,FIN,1998,0
Finland,FIN,1999,0
Finland,FIN,2000,0
Finland,FIN,2001,0
Finland,FIN,2002,0
Finland,FIN,2003,0
Finland,FIN,2004,0
Finland,FIN,2005,0
Finland,FIN,2006,0
Finland,FIN,2007,1
Finland,FIN,2008,1
Finland,FIN,2009,0
Finland,FIN,2010,0
Finland,FIN,2011,0
Finland,FIN,2012,0
Finland,FIN,2013,0
Finland,FIN,2014,0
Finland,FIN,2015,9
Finland,FIN,2016,3
France,FRA,1970,0
France,FRA,1971,0
France,FRA,1972,9
France,FRA,1973,14
France,FRA,1974,29
France,FRA,1975,39
France,FRA,1976,58
France,FRA,1977,53
France,FRA,1978,59
France,FRA,1979,212
France,FRA,1980,94
France,FRA,1981,66
France,FRA,1982,62
France,FRA,1983,121
France,FRA,1984,145
France,FRA,1985,106
France,FRA,1986,95
France,FRA,1987,87
France,FRA,1988,54
France,FRA,1989,25
France,FRA,1990,30
France,FRA,1991,137
France,FRA,1992,126
France,FRA,1993,105
France,FRA,1994,97
France,FRA,1995,71
France,FRA,1996,270
France,FRA,1997,130
France,FRA,1998,12
France,FRA,1999,46
France,FRA,2000,28
France,FRA,2001,21
France,FRA,2002,32
France,FRA,2003,34
France,FRA,2004,11
France,FRA,2005,33
France,FRA,2006,34
France,FRA,2007,16
France,FRA,2008,13
France,FRA,2009,9
France,FRA,2010,3
France,FRA,2011,8
France,FRA,2012,65
France,FRA,2013,12
France,FRA,2014,14
France,FRA,2015,36
France,FRA,2016,26
Germany,DEU,1970,0
Germany,DEU,1971,0
Germany,DEU,1972,0
Germany,DEU,1973,0
Germany,DEU,1974,0
Germany,DEU,1975,0
Germany,DEU,1976,0
Germany,DEU,1977,0
Germany,DEU,1978,0
Germany,DEU,1979,0
Germany,DEU,1980,0
Germany,DEU,1981,0
Germany,DEU,1982,0
Germany,DEU,1983,0
Germany,DEU,1984,0
Germany,DEU,1985,0
Germany,DEU,1986,0
Germany,DEU,1987,0
Germany,DEU,1988,0
Germany,DEU,1989,0
Germany,DEU,1990,1
Germany,DEU,1991,65
Germany,DEU,1992,156
Germany,DEU,1993,100
Germany,DEU,1994,79
Germany,DEU,1995,147
Germany,DEU,1996,52
Germany,DEU,1997,12
Germany,DEU,1998,6
Germany,DEU,1999,13
Germany,DEU,2000,8
Germany,DEU,2001,8
Germany,DEU,2002,3
Germany,DEU,2003,2
Germany,DEU,2004,3
Germany,DEU,2005,3
Germany,DEU,2006,4
Germany,DEU,2007,3
Germany,DEU,2008,3
Germany,DEU,2009,4
Germany,DEU,2010,1
Germany,DEU,2011,8
Germany,DEU,2012,4
Germany,DEU,2013,0
Germany,DEU,2014,13
Germany,DEU,2015,64
Germany,DEU,2016,41
Greece,GRC,1970,3
Greece,GRC,1971,1
Greece,GRC,1972,2
Greece,GRC,1973,11
Greece,GRC,1974,6
Greece,GRC,1975,4
Greece,GRC,1976,21
Greece,GRC,1977,47
Greece,GRC,1978,39
Greece,GRC,1979,9
Greece,GRC,1980,15
Greece,GRC,1981,20
Greece,GRC,1982,19
Greece,GRC,1983,11
Greece,GRC,1984,28
Greece,GRC,1985,35
Greece,GRC,1986,41
Greece,GRC,1987,26
Greece,GRC,1988,38
Greece,GRC,1989,50
Greece,GRC,1990,55
Greece,GRC,1991,57
Greece,GRC,1992,35
Greece,GRC,1993,39
Greece,GRC,1994,42
Greece,GRC,1995,8
Greece,GRC,1996,20
Greece,GRC,1997,21
Greece,GRC,1998,28
Greece,GRC,1999,35
Greece,GRC,2000,28
Greece,GRC,2001,14
Greece,GRC,2002,11
Greece,GRC,2003,12
Greece,GRC,2004,4
Greece,GRC,2005,6
Greece,GRC,2006,23
Greece,GRC,2007,15
Greece,GRC,2008,53
Greece,GRC,2009,115
Greece,GRC,2010,49
Greece,GRC,2011,11
Greece,GRC,2012,22
Greece,GRC,2013,53
Greece,GRC,2014,26
Greece,GRC,2015,31
Greece,GRC,2016,31
Hungary,HUN,1970,0
Hungary,HUN,1971,0
Hungary,HUN,1972,0
Hungary,HUN,1973,0
Hungary,HUN,1974,0
Hungary,HUN,1975,0
Hungary,HUN,1976,0
Hungary,HUN,1977,0
Hungary,HUN,1978,0
Hungary,HUN,1979,0
Hungary,HUN,1980,0
Hungary,HUN,1981,0
Hungary,HUN,1982,0
Hungary,HUN,1983,0
Hungary,HUN,1984,0
Hungary,HUN,1985,0
Hungary,HUN,1986,0
Hungary,HUN,1987,0
Hungary,HUN,1988,0
Hungary,HUN,1989,1
Hungary,HUN,1990,0
Hungary,HUN,1991,3
Hungary,HUN,1992,1
Hungary,HUN,1993,1
Hungary,HUN,1994,2
Hungary,HUN,1995,0
Hungary,HUN,1996,13
Hungary,HUN,1997,17
Hungary,HUN,1998,2
Hungary,HUN,1999,0
Hungary,HUN,2000,0
Hungary,HUN,2001,1
Hungary,HUN,2002,0
Hungary,HUN,2003,0
Hungary,HUN,2004,0
Hungary,HUN,2005,0
Hungary,HUN,2006,0
Hungary,HUN,2007,0
Hungary,HUN,2008,2
Hungary,HUN,2009,1
Hungary,HUN,2010,0
Hungary,HUN,2011,0
Hungary,HUN,2012,0
Hungary,HUN,2013,0
Hungary,HUN,2014,1
Hungary,HUN,2015,1
Hungary,HUN,2016,1
Ireland,IRL,1970,1
Ireland,IRL,1971,1
Ireland,IRL,1972,5
Ireland,IRL,1973,3
Ireland,IRL,1974,3
Ireland,IRL,1975,7
Ireland,IRL,1976,5
Ireland,IRL,1977,3
Ireland,IRL,1978,3
Ireland,IRL,1979,8
Ireland,IRL,1980,7
Ireland,IRL,1981,5
Ireland,IRL,1982,4
Ireland,IRL,1983,4
Ireland,IRL,1984,1
Ireland,IRL,1985,2
Ireland,IRL,1986,2
Ireland,IRL,1987,24
Ireland,IRL,1988,0
Ireland,IRL,1989,3
Ireland,IRL,1990,2
Ireland,IRL,1991,16
Ireland,IRL,1992,7
Ireland,IRL,1993,8
Ireland,IRL,1994,10
Ireland,IRL,1995,3
Ireland,IRL,1996,1
Ireland,IRL,1997,4
Ireland,IRL,1998,3
Ireland,IRL,1999,3
Ireland,IRL,2000,0
Ireland,IRL,2001,2
Ireland,IRL,2002,0
Ireland,IRL,2003,1
Ireland,IRL,2004,0
Ireland,IRL,2005,0
Ireland,IRL,2006,1
Ireland,IRL,2007,1
Ireland,IRL,2008,5
Ireland,IRL,2009,0
Ireland,IRL,2010,4
Ireland,IRL,2011,4
Ireland,IRL,2012,29
Ireland,IRL,2013,27
Ireland,IRL,2014,33
Ireland,IRL,2015,28
Ireland,IRL,2016,15
Italy,ITA,1970,3
Italy,ITA,1971,3
Italy,ITA,1972,4
Italy,ITA,1973,15
Italy,ITA,1974,22
Italy,ITA,1975,7
Italy,ITA,1976,174
Italy,ITA,1977,308
Italy,ITA,1978,277
Italy,ITA,1979,209
Italy,ITA,1980,110
Italy,ITA,1981,69
Italy,ITA,1982,23
Italy,ITA,1983,7
Italy,ITA,1984,14
Italy,ITA,1985,11
Italy,ITA,1986,7
Italy,ITA,1987,14
Italy,ITA,1988,29
Italy,ITA,1989,15
Italy,ITA,1990,6
Italy,ITA,1991,31
Italy,ITA,1992,37
Italy,ITA,1993,25
Italy,ITA,1994,18
Italy,ITA,1995,1
Italy,ITA,1996,8
Italy,ITA,1997,8
Italy,ITA,1998,6
Italy,ITA,1999,7
Italy,ITA,2000,8
Italy,ITA,2001,11
Italy,ITA,2002,7
Italy,ITA,2003,15
Italy,ITA,2004,3
Italy,ITA,2005,6
Italy,ITA,2006,4
Italy,ITA,2007,0
Italy,ITA,2008,2
Italy,ITA,2009,4
Italy,ITA,2010,10
Italy,ITA,2011,3
Italy,ITA,2012,10
Italy,ITA,2013,7
Italy,ITA,2014,7
Italy,ITA,2015,5
Italy,ITA,2016,11
Latvia,LVA,1970,0
Latvia,LVA,1971,0
Latvia,LVA,1972,0
Latvia,LVA,1973,0
Latvia,LVA,1974,0
Latvia,LVA,1975,0
Latvia,LVA,1976,0
Latvia,LVA,1977,0
Latvia,LVA,1978,0
Latvia,LVA,1979,0
Latvia,LVA,1980,0
Latvia,LVA,1981,0
Latvia,LVA,1982,0
Latvia,LVA,1983,0
Latvia,LVA,1984,0
Latvia,LVA,1985,0
Latvia,LVA,1986,0
Latvia,LVA,1987,0
Latvia,LVA,1988,0
Latvia,LVA,1989,0
Latvia,LVA,1990,0
Latvia,LVA,1991,0
Latvia,LVA,1992,2
Latvia,LVA,1993,2
Latvia,LVA,1994,2
Latvia,LVA,1995,1
Latvia,LVA,1996,0
Latvia,LVA,1997,2
Latvia,LVA,1998,4
Latvia,LVA,1999,1
Latvia,LVA,2000,3
Latvia,LVA,2001,0
Latvia,LVA,2002,0
Latvia,LVA,2003,0
Latvia,LVA,2004,0
Latvia,LVA,2005,0
Latvia,LVA,2006,0
Latvia,LVA,2007,1
Latvia,LVA,2008,0
Latvia,LVA,2009,0
Latvia,LVA,2010,0
Latvia,LVA,2011,0
Latvia,LVA,2012,0
Latvia,LVA,2013,0
Latvia,LVA,2014,0
Latvia,LVA,2015,0
Latvia,LVA,2016,0
Lithuania,LTU,1970,0
Lithuania,LTU,1971,0
Lithuania,LTU,1972,0
Lithuania,LTU,1973,0
Lithuania,LTU,1974,0
Lithuania,LTU,1975,0
Lithuania,LTU,1976,0
Lithuania,LTU,1977,0
Lithuania,LTU,1978,0
Lithuania,LTU,1979,0
Lithuania,LTU,1980,0
Lithuania,LTU,1981,0
Lithuania,LTU,1982,0
Lithuania,LTU,1983,0
Lithuania,LTU,1984,0
Lithuania,LTU,1985,0
Lithuania,LTU,1986,0
Lithuania,LTU,1987,0
Lithuania,LTU,1988,0
Lithuania,LTU,1989,0
Lithuania,LTU,1990,0
Lithuania,LTU,1991,1
Lithuania,LTU,1992,1
Lithuania,LTU,1993,1
Lithuania,LTU,1994,0
Lithuania,LTU,1995,2
Lithuania,LTU,1996,3
Lithuania,LTU,1997,1
Lithuania,LTU,1998,0
Lithuania,LTU,1999,0
Lithuania,LTU,2000,0
Lithuania,LTU,2001,0
Lithuania,LTU,2002,0
Lithuania,LTU,2003,0
Lithuania,LTU,2004,0
Lithuania,LTU,2005,0
Lithuania,LTU,2006,0
Lithuania,LTU,2007,0
Lithuania,LTU,2008,0
Lithuania,LTU,2009,0
Lithuania,LTU,2010,0
Lithuania,LTU,2011,0
Lithuania,LTU,2012,0
Lithuania,LTU,2013,0
Lithuania,LTU,2014,0
Lithuania,LTU,2015,0
Lithuania,LTU,2016,0
Luxembourg,LUX,1970,0
Luxembourg,LUX,1971,0
Luxembourg,LUX,1972,0
Luxembourg,LUX,1973,0
Luxembourg,LUX,1974,0
Luxembourg,LUX,1975,0
Luxembourg,LUX,1976,0
Luxembourg,LUX,1977,0
Luxembourg,LUX,1978,0
Luxembourg,LUX,1979,0
Luxembourg,LUX,1980,0
Luxembourg,LUX,1981,0
Luxembourg,LUX,1982,0
Luxembourg,LUX,1983,2
Luxembourg,LUX,1984,0
Luxembourg,LUX,1985,10
Luxembourg,LUX,1986,1
Luxembourg,LUX,1987,0
Luxembourg,LUX,1988,0
Luxembourg,LUX,1989,0
Luxembourg,LUX,1990,0
Luxembourg,LUX,1991,0
Luxembourg,LUX,1992,0
Luxembourg,LUX,1993,1
Luxembourg,LUX,1994,3
Luxembourg,LUX,1995,0
Luxembourg,LUX,1996,0
Luxembourg,LUX,1997,0
Luxembourg,LUX,1998,0
Luxembourg,LUX,1999,0
Luxembourg,LUX,2000,0
Luxembourg,LUX,2001,0
Luxembourg,LUX,2002,0
Luxembourg,LUX,2003,0
Luxembourg,LUX,2004,0
Luxembourg,LUX,2005,0
Luxembourg,LUX,2006,0
Luxembourg,LUX,2007,0
Luxembourg,LUX,2008,0
Luxembourg,LUX,2009,0
Luxembourg,LUX,2010,0
Luxembourg,LUX,2011,0
Luxembourg,LUX,2012,0
Luxembourg,LUX,2013,0
Luxembourg,LUX,2014,0
Luxembourg,LUX,2015,0
Luxembourg,LUX,2016,0
Malta,MLT,1970,0
Malta,MLT,1971,0
Malta,MLT,1972,0
Malta,MLT,1973,0
Malta,MLT,1974,0
Malta,MLT,1975,0
Malta,MLT,1976,0
Malta,MLT,1977,1
Malta,MLT,1978,0
Malta,MLT,1979,0
Malta,MLT,1980,0
Malta,MLT,1981,0
Malta,MLT,1982,0
Malta,MLT,1983,0
Malta,MLT,1984,7
Malta,MLT,1985,1
Malta,MLT,1986,1
Malta,MLT,1987,4
Malta,MLT,1988,0
Malta,MLT,1989,0
Malta,MLT,1990,0
Malta,MLT,1991,0
Malta,MLT,1992,1
Malta,MLT,1993,1
Malta,MLT,1994,0
Malta,MLT,1995,2
Malta,MLT,1996,0
Malta,MLT,1997,1
Malta,MLT,1998,0
Malta,MLT,1999,0
Malta,MLT,2000,0
Malta,MLT,2001,0
Malta,MLT,2002,0
Malta,MLT,2003,0
Malta,MLT,2004,0
Malta,MLT,2005,0
Malta,MLT,2006,0
Malta,MLT,2007,0
Malta,MLT,2008,0
Malta,MLT,2009,0
Malta,MLT,2010,0
Malta,MLT,2011,0
Malta,MLT,2012,0
Malta,MLT,2013,0
Malta,MLT,2014,1
Malta,MLT,2015,1
Malta,MLT,2016,0
Netherlands,NLD,1970,2
Netherlands,NLD,1971,1
Netherlands,NLD,1972,1
Netherlands,NLD,1973,1
Netherlands,NLD,1974,2
Netherlands,NLD,1975,4
Netherlands,NLD,1976,3
Netherlands,NLD,1977,6
Netherlands,NLD,1978,3
Netherlands,NLD,1979,3
Netherlands,NLD,1980,1
Netherlands,NLD,1981,1
Netherlands,NLD,1982,2
Netherlands,NLD,1983,2
Netherlands,NLD,1984,1
Netherlands,NLD,1985,4
Netherlands,NLD,1986,14
Netherlands,NLD,1987,1
Netherlands,NLD,1988,4
Netherlands,NLD,1989,5
Netherlands,NLD,1990,6
Netherlands,NLD,1991,8
Netherlands,NLD,1992,12
Netherlands,NLD,1993,9
Netherlands,NLD,1994,3
Netherlands,NLD,1995,7
Netherlands,NLD,1996,6
Netherlands,NLD,1997,1
Netherlands,NLD,1998,0
Netherlands,NLD,1999,1
Netherlands,NLD,2000,1
Netherlands,NLD,2001,1
Netherlands,NLD,2002,2
Netherlands,NLD,2003,3
Netherlands,NLD,2004,1
Netherlands,NLD,2005,0
Netherlands,NLD,2006,0
Netherlands,NLD,2007,0
Netherlands,NLD,2008,1
Netherlands,NLD,2009,1
Netherlands,NLD,2010,1
Netherlands,NLD,2011,2
Netherlands,NLD,2012,0
Netherlands,NLD,2013,0
Netherlands,NLD,2014,1
Netherlands,NLD,2015,3
Netherlands,NLD,2016,6
Poland,POL,1970,0
Poland,POL,1971,0
Poland,POL,1972,0
Poland,POL,1973,0
Poland,POL,1974,0
Poland,POL,1975,0
Poland,POL,1976,0
Poland,POL,1977,0
Poland,POL,1978,0
Poland,POL,1979,1
Poland,POL,1980,0
Poland,POL,1981,1
